Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MSL,ASW,LWK,ESN,GWD,ACB,YRI,synthetic_percentage,samples_and_percentage,model_name,accuracy,f1_score
73.0,73.0,73.0,0.2857,0.0952,0.551,0.338,0.4667,0.2687,0.2979,0.9,"950
90%",NN,0.3571428571428571,0.3290280973771201
74.0,74.0,74.0,0.1053,0.0541,0.5113,0.4,0.4426,0.2121,0.2253,0.0,"0
0%",NN,0.3458646616541353,0.2786702404363504
75.0,75.0,75.0,0.2338,0.1224,0.6021,0.2889,0.3902,0.25,0.3117,0.9,"950
90%",NN,0.3345864661654135,0.314169550572672
76.0,76.0,76.0,0.2985,0.1333,0.5934,0.4054,0.4578,0.3556,0.3171,0.0,"0
0%",NN,0.3872180451127819,0.3658732637743381
77.0,77.0,77.0,0.32,0.1667,0.625,0.3409,0.4651,0.2778,0.2985,0.9,"950
90%",NN,0.3796992481203007,0.3562824681585528
78.0,78.0,78.0,0.0541,0.1,0.5,0.2105,0.3333,0.2535,0.2647,0.0,"0
0%",NN,0.3045112781954887,0.2451629588986236
79.0,79.0,79.0,0.1905,0.125,0.5745,0.359,0.4545,0.3333,0.3368,0.9,"950
90%",NN,0.3646616541353383,0.3390913610998398
80.0,80.0,80.0,0.1,0.2273,0.0,0.0,0.2874,0.0952,0.2256,0.0,"0
0%",NN,0.1842105263157894,0.1336428402836939
81.0,81.0,81.0,0.2941,0.1154,0.5652,0.3333,0.4737,0.2759,0.2466,0.9,"950
90%",NN,0.3458646616541353,0.3291678012912438
82.0,82.0,82.0,0.1754,0.25,0.4096,0.0571,0.3699,0.0,0.2677,0.0,"0
0%",NN,0.2744360902255639,0.2185427938546648
83.0,83.0,83.0,0.2899,0.1224,0.5591,0.3421,0.4731,0.2857,0.25,0.9,"950
90%",NN,0.3533834586466165,0.3317688093491306
84.0,84.0,84.0,0.1304,0.0851,0.5273,0.3509,0.4235,0.3297,0.2917,0.0,"0
0%",NN,0.3421052631578947,0.3055082134206149
85.0,85.0,85.0,0.2703,0.24,0.549,0.3467,0.4675,0.2667,0.3291,0.9,"950
90%",NN,0.3684210526315789,0.3527528004328344
86.0,86.0,86.0,0.2609,0.093,0.5128,0.3175,0.4167,0.0,0.3097,0.0,"0
0%",NN,0.3270676691729323,0.2729311053333829
87.0,87.0,87.0,0.2571,0.1818,0.56,0.4048,0.4267,0.2727,0.3171,0.9,"950
90%",NN,0.3646616541353383,0.3457414362640843
88.0,88.0,88.0,0.1818,0.2593,0.4058,0.2667,0.3636,0.0,0.2695,0.0,"0
0%",NN,0.2631578947368421,0.2495258741327196
89.0,89.0,89.0,0.2857,0.1364,0.5238,0.2951,0.4486,0.2941,0.3469,0.9,"950
90%",NN,0.3571428571428571,0.3329462809301014
90.0,90.0,90.0,0.0465,0.2623,0.5143,0.3009,0.5,0.2105,0.2154,0.0,"0
0%",NN,0.3308270676691729,0.2928411872980294
91.0,91.0,91.0,0.2817,0.1887,0.5494,0.386,0.4615,0.3103,0.2883,0.9,"950
90%",NN,0.3646616541353383,0.3522794893246139
92.0,92.0,92.0,0.1333,0.0952,0.5957,0.3611,0.5128,0.3299,0.2472,0.0,"0
0%",NN,0.3533834586466165,0.3250479502580809
93.0,93.0,93.0,0.2712,0.2449,0.6042,0.3611,0.4902,0.3056,0.2927,0.9,"950
90%",NN,0.3909774436090225,0.3671138197793734
94.0,94.0,94.0,0.0526,0.2105,0.5333,0.338,0.3556,0.0,0.0,0.0,"0
0%",NN,0.3120300751879699,0.2128678503771164
95.0,95.0,95.0,0.3333,0.2128,0.62,0.3529,0.4419,0.3377,0.3191,0.9,"950
90%",NN,0.3947368421052631,0.373958886599937
96.0,96.0,96.0,0.0,0.1026,0.4812,0.4112,0.4203,0.0,0.2326,0.0,"0
0%",NN,0.3383458646616541,0.2354042939944678
97.0,97.0,97.0,0.3175,0.2553,0.5833,0.375,0.4889,0.3158,0.3125,0.9,"950
90%",NN,0.3947368421052631,0.3783273089004172
98.0,98.0,98.0,0.1633,0.0976,0.44,0.2656,0.3429,0.1569,0.2366,0.0,"0
0%",NN,0.2706766917293233,0.2432471870674761
